"Time","Source","Destination","Source Port","Destination Port","Protocol","ICMP Type","Length","Flags"
"0.000000","192.168.42.42","192.168.42.129","61075","53","DNS","","90",""
"0.096632","192.168.42.42","192.168.42.129","61075","53","DNS","","90",""
"0.283903","192.168.42.129","192.168.42.42","53","61075","DNS","","222",""
"0.287727","192.168.42.42","34.120.208.123","62457","443","TCP","","66","0x002"
"0.288417","192.168.42.42","192.168.42.129","55905","53","DNS","","103",""
"0.288859","192.168.42.129","192.168.42.42","53","55905","DNS","","119",""
"0.289583","192.168.42.42","192.168.42.129","56881","53","DNS","","103",""
"0.359028","192.168.42.129","192.168.42.42","53","56881","DNS","","196",""
"0.359739","34.120.208.123","192.168.42.42","443","62457","TCP","","66","0x012"
"0.359838","192.168.42.42","34.120.208.123","62457","443","TCP","","54","0x010"
"0.360745","192.168.42.42","34.120.208.123","62457","443","TLSv1.2","","265","0x018"
"0.411653","34.120.208.123","192.168.42.42","443","62457","TCP","","54","0x010"
"0.411861","34.120.208.123","192.168.42.42","443","62457","TLSv1.2","","1424","0x010"
"0.423010","34.120.208.123","192.168.42.42","443","62457","TCP","","1424","0x018"
"0.423080","192.168.42.42","34.120.208.123","62457","443","TCP","","54","0x010"
"0.451770","34.120.208.123","192.168.42.42","443","62457","TLSv1.2","","752","0x018"
"0.457398","192.168.42.42","34.120.208.123","62457","443","TLSv1.2","","147","0x018"
"0.467967","192.168.42.42","192.168.42.129","56976","53","DNS","","77",""
"0.509505","34.120.208.123","192.168.42.42","443","62457","TLSv1.2","","349","0x018"
"0.509583","34.120.208.123","192.168.42.42","443","62457","TLSv1.2","","123","0x018"
"0.509612","192.168.42.42","34.120.208.123","62457","443","TCP","","54","0x010"
"0.520232","192.168.42.129","192.168.42.42","53","56976","DNS","","125",""
"0.521289","192.168.42.42","117.18.237.29","62458","80","TCP","","66","0x002"
"0.522432","192.168.42.42","192.168.42.129","59777","53","DNS","","78",""
"0.578366","192.168.42.129","192.168.42.42","53","59777","DNS","","146",""
"0.579357","117.18.237.29","192.168.42.42","80","62458","TCP","","66","0x012"
"0.579412","192.168.42.42","117.18.237.29","62458","80","TCP","","54","0x010"
"0.579623","192.168.42.42","117.18.237.29","62458","80","OCSP","","479","0x018"
"0.640647","117.18.237.29","192.168.42.42","80","62458","TCP","","54","0x010"
"0.640729","117.18.237.29","192.168.42.42","80","62458","OCSP","","852","0x018"
"0.643361","192.168.42.42","34.120.208.123","62457","443","TLSv1.2","","231","0x018"
"0.643438","192.168.42.42","34.120.208.123","62457","443","TLSv1.2","","418","0x018"
"0.643510","192.168.42.42","34.120.208.123","62457","443","TLSv1.2","","518","0x018"
"0.643674","192.168.42.42","34.120.208.123","62457","443","TLSv1.2","","192","0x018"
"0.643733","192.168.42.42","34.120.208.123","62457","443","TLSv1.2","","523","0x018"
"0.644576","192.168.42.42","34.120.208.123","62457","443","TLSv1.2","","92","0x018"
"0.686072","192.168.42.42","117.18.237.29","62458","80","TCP","","54","0x010"
"0.700622","34.120.208.123","192.168.42.42","443","62457","TCP","","54","0x010"
"0.700733","34.120.208.123","192.168.42.42","443","62457","TCP","","54","0x010"
"0.700764","34.120.208.123","192.168.42.42","443","62457","TCP","","54","0x010"
"0.700855","34.120.208.123","192.168.42.42","443","62457","TLSv1.2","","92","0x018"
"0.745946","192.168.42.42","34.120.208.123","62457","443","TCP","","54","0x010"
"1.101148","34.120.208.123","192.168.42.42","443","62457","TLSv1.2","","510","0x018"
"1.101240","34.120.208.123","192.168.42.42","443","62457","TLSv1.2","","363","0x018"
"1.101271","192.168.42.42","34.120.208.123","62457","443","TCP","","54","0x010"
"1.101489","34.120.208.123","192.168.42.42","443","62457","TLSv1.2","","183","0x018"
"1.101521","34.120.208.123","192.168.42.42","443","62457","TLSv1.2","","100","0x018"
"1.101540","192.168.42.42","34.120.208.123","62457","443","TCP","","54","0x010"
"1.101734","34.120.208.123","192.168.42.42","443","62457","TLSv1.2","","129","0x018"
"1.101761","34.120.208.123","192.168.42.42","443","62457","TLSv1.2","","294","0x018"
"1.101777","192.168.42.42","34.120.208.123","62457","443","TCP","","54","0x010"
"1.101984","34.120.208.123","192.168.42.42","443","62457","TLSv1.2","","252","0x018"
"1.102012","34.120.208.123","192.168.42.42","443","62457","TCP","","252","0x018"
"1.102028","192.168.42.42","34.120.208.123","62457","443","TCP","","66","0x010"
"1.102155","192.168.42.42","34.120.208.123","62457","443","TLSv1.2","","100","0x018"
"1.165513","34.120.208.123","192.168.42.42","443","62457","TCP","","54","0x010"
"2.154885","192.168.42.42","192.168.42.129","57115","53","DNS","","71",""
"2.155592","192.168.42.42","192.168.42.129","51115","53","DNS","","80",""
"2.156156","192.168.42.42","192.168.42.129","62098","53","DNS","","73",""
"2.213614","192.168.42.42","34.120.208.123","62457","443","TLSv1.2","","204","0x018"
"2.213797","192.168.42.42","34.120.208.123","62457","443","TLSv1.2","","402","0x018"
"2.265128","192.168.42.42","192.168.42.129","62098","53","DNS","","73",""
"2.265294","192.168.42.42","192.168.42.129","51115","53","DNS","","80",""
"2.265364","192.168.42.42","192.168.42.129","57115","53","DNS","","71",""
"2.294037","192.168.42.129","192.168.42.42","53","57115","DNS","","327",""
"2.294235","192.168.42.129","192.168.42.42","53","51115","DNS","","96",""
"2.296201","192.168.42.42","192.168.42.129","49848","53","DNS","","71",""
"2.296733","192.168.42.129","192.168.42.42","53","49848","DNS","","327",""
"2.297081","192.168.42.42","192.168.42.129","55440","53","DNS","","80",""
"2.297356","192.168.42.129","192.168.42.42","53","55440","DNS","","96",""
"2.297418","192.168.42.42","192.168.42.129","50060","53","DNS","","71",""
"2.297973","192.168.42.42","192.168.42.129","61411","53","DNS","","80",""
"2.300237","192.168.42.129","192.168.42.42","53","62098","DNS","","134",""
"2.300968","192.168.42.42","192.168.42.129","64352","53","DNS","","94",""
"2.301357","192.168.42.129","192.168.42.42","53","64352","DNS","","110",""
"2.305636","34.120.208.123","192.168.42.42","443","62457","TCP","","54","0x010"
"2.305714","34.120.208.123","192.168.42.42","443","62457","TCP","","54","0x010"
"2.306214","192.168.42.42","192.168.42.129","59599","53","DNS","","94",""
"2.313732","192.168.42.42","172.217.167.238","52193","443","UDP","","442",""
"2.340271","192.168.42.129","192.168.42.42","53","50060","DNS","","183",""
"2.340610","192.168.42.129","192.168.42.42","53","61411","DNS","","108",""
"2.349144","192.168.42.129","192.168.42.42","53","59599","DNS","","122",""
"2.379947","192.168.42.42","192.168.42.129","53777","53","DNS","","103",""
"2.380490","192.168.42.129","192.168.42.42","53","53777","DNS","","103",""
"2.391656","172.217.167.238","192.168.42.42","443","52193","UDP","","72",""
"2.412526","192.168.42.42","172.217.167.238","52193","443","UDP","","74",""
"2.510157","172.217.167.238","192.168.42.42","443","52193","UDP","","1395",""
"2.510313","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.511571","192.168.42.42","172.217.167.238","52193","443","UDP","","78",""
"2.511627","172.217.167.238","192.168.42.42","443","52193","UDP","","1171",""
"2.527526","172.217.167.238","192.168.42.42","443","52193","UDP","","1394",""
"2.527927","192.168.42.42","172.217.167.238","52193","443","UDP","","73",""
"2.561903","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.570017","192.168.42.42","192.168.42.129","53479","53","DNS","","77",""
"2.584935","192.168.42.42","172.217.167.238","52193","443","UDP","","74",""
"2.605799","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.605978","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.606508","192.168.42.42","172.217.167.238","52193","443","UDP","","73",""
"2.611896","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.636083","192.168.42.42","172.217.167.238","52193","443","UDP","","74",""
"2.636998","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.645528","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.645678","172.217.167.238","192.168.42.42","443","52193","UDP","","564",""
"2.646107","192.168.42.42","172.217.167.238","52193","443","UDP","","73",""
"2.661901","172.217.167.238","192.168.42.42","443","52193","UDP","","1394",""
"2.683037","192.168.42.42","172.217.167.238","52193","443","UDP","","74",""
"2.690678","34.120.208.123","192.168.42.42","443","62457","TLSv1.2","","129","0x018"
"2.690834","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.690985","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.691574","192.168.42.42","172.217.167.238","52193","443","UDP","","73",""
"2.705665","34.120.208.123","192.168.42.42","443","62457","TLSv1.2","","253","0x018"
"2.705760","192.168.42.42","34.120.208.123","62457","443","TCP","","54","0x010"
"2.705828","34.120.208.123","192.168.42.42","443","62457","TLSv1.2","","148","0x018"
"2.705990","34.120.208.123","192.168.42.42","443","62457","TLSv1.2","","100","0x018"
"2.706009","192.168.42.42","34.120.208.123","62457","443","TCP","","54","0x010"
"2.706280","192.168.42.42","34.120.208.123","62457","443","TLSv1.2","","100","0x018"
"2.725900","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.736013","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.736429","192.168.42.42","172.217.167.238","52193","443","UDP","","73",""
"2.739393","192.168.42.42","192.168.42.129","53479","53","DNS","","77",""
"2.750149","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.774469","192.168.42.42","172.217.167.238","52193","443","UDP","","74",""
"2.782029","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.782237","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.782636","192.168.42.42","172.217.167.238","52193","443","UDP","","73",""
"2.823150","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.823303","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.823614","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.823677","192.168.42.42","172.217.167.238","52193","443","UDP","","73",""
"2.846167","172.217.167.238","192.168.42.42","443","52193","UDP","","1399",""
"2.846475","192.168.42.42","172.217.167.238","52193","443","UDP","","74",""
"2.867567","192.168.42.42","172.217.167.238","52193","443","UDP","","74",""
"2.870646","192.168.42.129","192.168.42.42","53","53479","DNS","","93",""
"2.871618","172.217.167.238","192.168.42.42","443","52193","UDP","","861",""
"2.873131","34.120.208.123","192.168.42.42","443","62457","TCP","","54","0x010"
"2.873193","172.217.167.238","192.168.42.42","443","52193","UDP","","69",""
"2.892516","192.168.42.42","172.217.167.238","52193","443","UDP","","74",""
"2.926346","192.168.42.42","192.168.42.129","55161","53","DNS","","77",""
