"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","ICMP Type","Length","Flags"
"1","0.000000","192.168.42.42","204.79.197.222","62512","443","TCP","","54","0x014"
"2","10.402157","192.168.42.129","224.0.0.251","5353","5353","MDNS","","290",""
"3","10.402619","fe80::5492:f1ff:fe36:b795","ff02::fb","5353","5353","MDNS","","310",""
"4","23.256470","192.168.42.42","192.168.42.129","54198","53","DNS","","82",""
"5","23.303533","192.168.42.129","192.168.42.42","53","54198","DNS","","141",""
"6","23.328964","192.168.42.42","20.198.118.190","51928","443","TCP","","66","0x002"
"7","23.442159","20.198.118.190","192.168.42.42","443","51928","TCP","","66","0x012"
"8","23.442278","192.168.42.42","20.198.118.190","51928","443","TCP","","54","0x010"
"9","23.443270","192.168.42.42","20.198.118.190","51928","443","TLSv1.2","","238","0x018"
"10","23.534284","20.198.118.190","192.168.42.42","443","51928","TCP","","1424","0x010"
"11","23.534393","20.198.118.190","192.168.42.42","443","51928","TCP","","144","0x018"
"12","23.534426","192.168.42.42","20.198.118.190","51928","443","TCP","","54","0x010"
"13","23.538497","20.198.118.190","192.168.42.42","443","51928","TCP","","1424","0x010"
"14","23.538541","20.198.118.190","192.168.42.42","443","51928","TCP","","144","0x018"
"15","23.538562","192.168.42.42","20.198.118.190","51928","443","TCP","","54","0x010"
"16","23.539119","20.198.118.190","192.168.42.42","443","51928","TLSv1.2","","1272","0x018"
"17","23.547651","192.168.42.42","20.198.118.190","51928","443","TLSv1.2","","212","0x018"
"18","23.623286","20.198.118.190","192.168.42.42","443","51928","TLSv1.2","","105","0x018"
"19","23.669100","192.168.42.42","20.198.118.190","51928","443","TCP","","54","0x010"
"20","23.733251","192.168.42.42","20.198.118.190","51928","443","TLSv1.2","","408","0x018"
"21","23.733491","192.168.42.42","20.198.118.190","51928","443","TLSv1.2","","1159","0x018"
"22","23.734134","192.168.42.42","20.198.118.190","51928","443","TLSv1.2","","301","0x018"
"23","24.044122","192.168.42.42","20.198.118.190","51928","443","TCP","","1424","0x018"
"24","24.072159","20.198.118.190","192.168.42.42","443","51928","TCP","","54","0x010"
"25","24.072246","20.198.118.190","192.168.42.42","443","51928","TLSv1.2","","334","0x018"
"26","24.072299","192.168.42.42","20.198.118.190","51928","443","TCP","","54","0x010"
"27","24.072499","20.198.118.190","192.168.42.42","443","51928","TLSv1.2","","155","0x018"
"28","24.072524","192.168.42.42","20.198.118.190","51928","443","TCP","","54","0x010"
"29","24.072747","20.198.118.190","192.168.42.42","443","51928","TLSv1.2","","232","0x018"
"30","24.122224","192.168.42.42","20.198.118.190","51928","443","TCP","","54","0x010"
"31","24.149283","20.198.118.190","192.168.42.42","443","51928","TCP","","613","0x018"
"32","24.149348","192.168.42.42","20.198.118.190","51928","443","TCP","","66","0x010"
"33","24.170283","20.198.118.190","192.168.42.42","443","51928","TCP","","66","0x010"
"34","24.394990","192.168.42.42","20.198.118.190","51928","443","TLSv1.2","","273","0x018"
"35","24.436808","192.168.42.42","20.198.118.190","51928","443","TLSv1.2","","322","0x018"
"36","24.700361","192.168.42.42","20.198.118.190","51928","443","TCP","","541","0x018"
"37","24.735041","20.198.118.190","192.168.42.42","443","51928","TCP","","54","0x010"
"38","24.735129","20.198.118.190","192.168.42.42","443","51928","TLSv1.2","","155","0x018"
"39","24.735371","20.198.118.190","192.168.42.42","443","51928","TLSv1.2","","232","0x018"
"40","24.735411","192.168.42.42","20.198.118.190","51928","443","TCP","","54","0x010"
"41","24.807540","20.198.118.190","192.168.42.42","443","51928","TCP","","333","0x018"
"42","24.807610","192.168.42.42","20.198.118.190","51928","443","TCP","","66","0x010"
"43","24.822038","20.198.118.190","192.168.42.42","443","51928","TCP","","66","0x010"
"44","25.524903","192.168.42.42","192.168.42.129","62294","53","DNS","","84",""
"45","25.525819","192.168.42.42","192.168.42.129","64503","53","DNS","","88",""
"46","25.527041","192.168.42.42","192.168.42.129","53960","53","DNS","","85",""
"47","25.603608","192.168.42.42","192.168.42.129","62571","53","DNS","","95",""
"48","25.633295","192.168.42.129","192.168.42.42","53","62294","DNS","","195",""
"49","25.633419","192.168.42.129","192.168.42.42","53","64503","DNS","","104",""
"50","25.633626","192.168.42.129","192.168.42.42","53","53960","DNS","","188",""
"51","25.638032","192.168.42.129","192.168.42.42","53","62571","DNS","","249",""
"52","25.660726","192.168.42.42","34.120.5.221","51931","443","TCP","","66","0x002"
"53","25.713912","34.120.5.221","192.168.42.42","443","51931","TCP","","66","0x012"
"54","25.714035","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"55","25.721027","192.168.42.42","34.120.5.221","51931","443","TLSv1.3","","571","0x018"
"56","25.782665","34.120.5.221","192.168.42.42","443","51931","TCP","","54","0x010"
"57","25.784390","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x010"
"58","25.784747","34.120.5.221","192.168.42.42","443","51931","TCP","","1424","0x018"
"59","25.784788","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"60","25.785119","34.120.5.221","192.168.42.42","443","51931","TCP","","1424","0x010"
"61","25.785243","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","464","0x018"
"62","25.785269","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"63","25.865744","192.168.42.42","34.117.237.239","51932","443","TCP","","66","0x002"
"64","25.865966","192.168.42.42","192.168.42.129","62294","53","DNS","","84",""
"65","25.866534","192.168.42.129","192.168.42.42","53","62294","DNS","","198",""
"66","25.866619","192.168.42.42","34.160.144.191","51933","443","TCP","","66","0x002"
"67","25.866664","192.168.42.42","192.168.42.129","51645","53","DNS","","96",""
"68","25.866996","192.168.42.129","192.168.42.42","53","51645","DNS","","112",""
"69","25.913661","34.117.237.239","192.168.42.42","443","51932","TCP","","66","0x012"
"70","25.913772","192.168.42.42","34.117.237.239","51932","443","TCP","","54","0x010"
"71","25.913835","34.160.144.191","192.168.42.42","443","51933","TCP","","66","0x012"
"72","25.913874","192.168.42.42","34.160.144.191","51933","443","TCP","","54","0x010"
"73","25.920918","192.168.42.42","34.117.237.239","51932","443","TLSv1.3","","571","0x018"
"74","25.921398","192.168.42.42","34.160.144.191","51933","443","TLSv1.2","","270","0x018"
"75","25.983913","34.117.237.239","192.168.42.42","443","51932","TCP","","54","0x010"
"76","25.984046","34.117.237.239","192.168.42.42","443","51932","TLSv1.3","","1424","0x010"
"77","25.984373","34.160.144.191","192.168.42.42","443","51933","TCP","","54","0x010"
"78","25.985370","34.117.237.239","192.168.42.42","443","51932","TCP","","1424","0x018"
"79","25.985413","192.168.42.42","34.117.237.239","51932","443","TCP","","54","0x010"
"80","25.985742","34.117.237.239","192.168.42.42","443","51932","TCP","","1424","0x010"
"81","25.985868","34.117.237.239","192.168.42.42","443","51932","TLSv1.3","","517","0x018"
"82","25.985892","192.168.42.42","34.117.237.239","51932","443","TCP","","54","0x010"
"83","25.986369","34.160.144.191","192.168.42.42","443","51933","TLSv1.2","","1424","0x010"
"84","25.992782","34.160.144.191","192.168.42.42","443","51933","TCP","","1424","0x018"
"85","25.992839","192.168.42.42","34.160.144.191","51933","443","TCP","","54","0x010"
"86","25.995397","34.160.144.191","192.168.42.42","443","51933","TCP","","1424","0x010"
"87","25.995622","34.160.144.191","192.168.42.42","443","51933","TLSv1.2","","402","0x018"
"88","25.995653","192.168.42.42","34.160.144.191","51933","443","TCP","","54","0x010"
"89","26.000920","192.168.42.42","34.160.144.191","51933","443","TLSv1.2","","147","0x018"
"90","26.027920","192.168.42.42","34.107.221.82","51934","80","TCP","","66","0x002"
"91","26.052693","34.160.144.191","192.168.42.42","443","51933","TLSv1.2","","349","0x018"
"92","26.052836","34.160.144.191","192.168.42.42","443","51933","TLSv1.2","","123","0x018"
"93","26.052875","192.168.42.42","34.160.144.191","51933","443","TCP","","54","0x010"
"94","26.083664","34.107.221.82","192.168.42.42","80","51934","TCP","","66","0x012"
"95","26.083781","192.168.42.42","34.107.221.82","51934","80","TCP","","54","0x010"
"96","26.084199","192.168.42.42","34.107.221.82","51934","80","HTTP","","356","0x018"
"97","26.127444","192.168.42.42","192.168.42.129","52156","53","DNS","","88",""
"98","26.127990","192.168.42.42","192.168.42.129","50607","53","DNS","","96",""
"99","26.128008","192.168.42.129","192.168.42.42","53","52156","DNS","","104",""
"100","26.128478","192.168.42.42","192.168.42.129","53798","53","DNS","","117",""
"101","26.128872","192.168.42.129","192.168.42.42","53","53798","DNS","","133",""
"102","26.129423","192.168.42.42","192.168.42.129","62272","53","DNS","","88",""
"103","26.142542","34.107.221.82","192.168.42.42","80","51934","TCP","","54","0x010"
"104","26.146284","34.107.221.82","192.168.42.42","80","51934","HTTP","","352","0x018"
"105","26.162285","192.168.42.129","192.168.42.42","53","50607","DNS","","124",""
"106","26.182291","192.168.42.129","192.168.42.42","53","62272","DNS","","169",""
"107","26.250385","192.168.42.42","34.107.221.82","51934","80","TCP","","54","0x010"
"108","26.355569","192.168.42.42","192.168.42.129","57206","53","DNS","","71",""
"109","26.357455","192.168.42.42","192.168.42.129","54192","53","DNS","","117",""
"110","26.357966","192.168.42.42","192.168.42.129","55537","53","DNS","","102",""
"111","26.358376","192.168.42.129","192.168.42.42","53","55537","DNS","","118",""
"112","26.395302","192.168.42.42","192.168.42.129","52863","53","DNS","","87",""
"113","26.421664","192.168.42.129","192.168.42.42","53","57206","DNS","","87",""
"114","26.432283","192.168.42.129","192.168.42.42","53","54192","DNS","","145",""
"115","26.432428","192.168.42.129","192.168.42.42","53","52863","DNS","","103",""
"116","26.444900","192.168.42.42","142.250.207.234","51935","443","TCP","","66","0x002"
"117","26.446349","192.168.42.42","192.168.42.129","63520","53","DNS","","87",""
"118","26.446751","192.168.42.129","192.168.42.42","53","63520","DNS","","103",""
"119","26.488075","192.168.42.42","192.168.42.129","54351","53","DNS","","87",""
"120","26.488076","192.168.42.42","192.168.42.129","49379","53","DNS","","102",""
"121","26.523163","192.168.42.129","192.168.42.42","53","54351","DNS","","115",""
"122","26.523501","192.168.42.129","192.168.42.42","53","49379","DNS","","130",""
"123","26.528633","142.250.207.234","192.168.42.42","443","51935","TCP","","66","0x012"
"124","26.528726","192.168.42.42","142.250.207.234","51935","443","TCP","","54","0x010"
"125","26.535369","192.168.42.42","142.250.207.234","51935","443","TLSv1.3","","571","0x018"
"126","26.618653","142.250.207.234","192.168.42.42","443","51935","TCP","","54","0x010"
"127","26.717067","192.168.42.42","192.168.42.129","64384","53","DNS","","74",""
"128","26.717791","192.168.42.42","192.168.42.129","60064","53","DNS","","85",""
"129","26.718642","192.168.42.42","192.168.42.129","61846","53","DNS","","84",""
"130","26.719002","192.168.42.129","192.168.42.42","53","61846","DNS","","198",""
"131","26.719518","192.168.42.42","192.168.42.129","50148","53","DNS","","97",""
"132","26.722083","192.168.42.42","192.168.42.129","63691","53","DNS","","90",""
"133","26.723928","192.168.42.42","192.168.42.129","49274","53","DNS","","84",""
"134","26.725309","192.168.42.42","34.107.221.82","51936","80","TCP","","66","0x002"
"135","26.750547","142.250.207.234","192.168.42.42","443","51935","TLSv1.3","","1424","0x010"
"136","26.750655","142.250.207.234","192.168.42.42","443","51935","TCP","","1424","0x018"
"137","26.750697","192.168.42.42","142.250.207.234","51935","443","TCP","","54","0x010"
"138","26.752757","142.250.207.234","192.168.42.42","443","51935","TCP","","1424","0x010"
"139","26.752871","142.250.207.234","192.168.42.42","443","51935","TLSv1.3","","626","0x018"
"140","26.752902","192.168.42.42","142.250.207.234","51935","443","TCP","","54","0x010"
"141","26.781667","192.168.42.129","192.168.42.42","53","64384","DNS","","173",""
"142","26.792290","192.168.42.129","192.168.42.42","53","60064","DNS","","251",""
"143","26.792877","192.168.42.129","192.168.42.42","53","50148","DNS","","113",""
"144","26.793251","192.168.42.129","192.168.42.42","53","63691","DNS","","222",""
"145","26.793621","192.168.42.129","192.168.42.42","53","49274","DNS","","132",""
"146","26.804909","34.107.221.82","192.168.42.42","80","51936","TCP","","66","0x012"
"147","26.805031","192.168.42.42","34.107.221.82","51936","80","TCP","","54","0x010"
"148","26.805437","192.168.42.42","34.107.221.82","51936","80","HTTP","","358","0x018"
"149","26.827476","192.168.42.42","35.241.9.150","51937","443","TCP","","66","0x002"
