"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Type","Length","Flags","Info"
"1","0.000000","192.168.45.28","202.39.224.7","","","ICMP","8","58","","Echo (ping) request  id=0x0001, seq=1812/5127, ttl=255 (no response found!)"
"2","1.337448","192.168.45.28","224.0.0.251","","","MDNS","","87","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"3","1.337711","fe80::c985:a7dc:e321:1b2","ff02::fb","","","MDNS","","107","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"4","1.337786","fe80::c985:a7dc:e321:1b2","ff02::fb","","","MDNS","","107","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"5","1.337826","fe80::c985:a7dc:e321:1b2","ff02::fb","","","MDNS","","107","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"6","1.494590","192.168.45.28","239.255.255.250","","","SSDP","","167","","M-SEARCH * HTTP/1.1 "
"7","2.667474","b6:f2:a8:30:cd:8f","Intel_4e:76:90","","","ARP","","42","","Who has 192.168.45.28? Tell 192.168.45.13"
"8","2.667517","Intel_4e:76:90","b6:f2:a8:30:cd:8f","","","ARP","","42","","192.168.45.28 is at b0:3c:dc:4e:76:90"
"9","2.999827","192.168.45.28","202.39.224.7","","","ICMP","8","58","","Echo (ping) request  id=0x0001, seq=1813/5383, ttl=255 (no response found!)"
"10","3.001874","192.168.45.28","192.168.45.13","","","DNS","","79","","Standard query 0x3c77 AAAA clients2.google.com"
"11","3.002380","192.168.45.28","192.168.45.13","","","DNS","","79","","Standard query 0x7b9e A clients2.google.com"
"12","3.002772","192.168.45.28","192.168.45.13","","","DNS","","79","","Standard query 0x410d HTTPS clients2.google.com"
"13","3.039561","192.168.45.13","192.168.45.28","","","DNS","","131","","Standard query response 0x3c77 AAAA clients2.google.com CNAME clients.l.google.com AAAA 2404:6800:4007:820::200e"
