"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","ICMP Type","Flags"
"1","0.000000","fe:7e:84:95:6a:51","a6:c3:55:3c:13:a5","","","ARP","42","",""
"2","0.000071","a6:c3:55:3c:13:a5","fe:7e:84:95:6a:51","","","ARP","42","",""
"3","13.235815","192.168.42.224","192.168.42.129","57052","53","DNS","90","",""
"4","13.295058","192.168.42.224","192.168.42.129","57052","53","DNS","90","",""
"5","13.509876","192.168.42.224","192.168.42.129","54087","53","DNS","95","",""
"6","13.542115","192.168.42.224","192.168.42.129","54087","53","DNS","95","",""
"7","13.545261","192.168.42.129","192.168.42.224","53","57052","DNS","222","",""
"8","13.547327","192.168.42.224","192.168.42.129","54926","53","DNS","103","",""
"9","13.547840","192.168.42.129","192.168.42.224","53","54926","DNS","119","",""
"10","13.548656","192.168.42.224","192.168.42.129","63229","53","DNS","103","",""
"11","13.571996","192.168.42.224","34.120.208.123","62094","443","TCP","66","","0x002"
"12","13.586420","192.168.42.224","192.168.42.129","49853","53","DNS","89","",""
"13","13.594229","192.168.42.224","192.168.42.129","63229","53","DNS","103","",""
"14","13.602091","192.168.42.129","192.168.42.224","53","54087","DNS","111","",""
"15","13.627258","34.120.208.123","192.168.42.224","443","62094","TCP","66","","0x012"
"16","13.627381","192.168.42.224","34.120.208.123","62094","443","TCP","54","","0x010"
"17","13.627491","192.168.42.129","192.168.42.224","53","63229","DNS","196","",""
"18","13.628207","192.168.42.129","192.168.42.224","53","49853","DNS","200","",""
"19","13.629584","192.168.42.224","192.168.42.129","63844","53","DNS","89","",""
"20","13.629959","192.168.42.129","192.168.42.224","53","63844","DNS","206","",""
"21","13.632404","192.168.42.224","192.168.42.129","55672","53","DNS","100","",""
"22","13.632957","192.168.42.129","192.168.42.224","53","55672","DNS","116","",""
"23","13.633893","192.168.42.224","192.168.42.129","57317","53","DNS","95","",""
"24","13.634206","192.168.42.129","192.168.42.224","53","57317","DNS","95","",""
"25","13.642649","192.168.42.224","34.120.208.123","62094","443","TLSv1.2","571","","0x018"
"26","13.645118","192.168.42.224","34.120.115.102","62095","443","TCP","66","","0x002"
"27","13.646451","192.168.42.224","34.120.237.76","62096","443","TCP","66","","0x002"
"28","13.709129","34.120.208.123","192.168.42.224","443","62094","TCP","54","","0x010"
"29","13.712215","34.120.237.76","192.168.42.224","443","62096","TCP","66","","0x012"
"30","13.712304","192.168.42.224","34.120.237.76","62096","443","TCP","54","","0x010"
"31","13.712353","34.120.115.102","192.168.42.224","443","62095","TCP","66","","0x012"
"32","13.712389","192.168.42.224","34.120.115.102","62095","443","TCP","54","","0x010"
"33","13.718311","192.168.42.224","34.120.237.76","62096","443","TLSv1.3","718","","0x018"
"34","13.725050","192.168.42.224","34.120.115.102","62095","443","TLSv1.3","724","","0x018"
"35","13.744154","34.120.208.123","192.168.42.224","443","62094","TLSv1.2","210","","0x018"
"36","13.749158","192.168.42.224","34.120.208.123","62094","443","TLSv1.2","105","","0x018"
"37","13.750131","192.168.42.224","34.120.208.123","62094","443","TLSv1.2","231","","0x018"
"38","13.750209","192.168.42.224","34.120.208.123","62094","443","TLSv1.2","419","","0x018"
"39","13.750274","192.168.42.224","34.120.208.123","62094","443","TLSv1.2","517","","0x018"
"40","13.750487","192.168.42.224","34.120.208.123","62094","443","TLSv1.2","192","","0x018"
"41","13.750545","192.168.42.224","34.120.208.123","62094","443","TLSv1.2","522","","0x018"
